parameter_shortname;parameter_description_de;parameter_description_fr;parameter_description_it;parameter_description_en;parameter_group_de;parameter_group_fr;parameter_group_it;parameter_group_en;parameter_granularity;parameter_decimals;parameter_datatype;parameter_unit
sremaxyv;"Sonnenscheindauer; Verhältnis der Jahressumme zur maximal Möglichen";"Durée d'ensoleillement; rapport de la somme annuelle au maximum possible";"Soleggiamento; somma annuale rispetto al massimo possibile";"Sunshine duration; relation of the annual total to the possible maximum";Sonne;ensoleillement;soleggiamento;sunshine;Y;0;Integer;%
tde200h0;"Taupunkt 2 m über Boden;  Stundenmittel";"point de rosée à 2 m du sol; moyenne horaire";"Punto di rugiada a 2 m; media oraria";"Dew point 2 m above ground; hourly mean";Feuchte;humidité;umidità;humidity;H;1;Float;°C
tde200s0;"Taupunkt 2 m über Boden; Momentanwert";"point de rosée à 2 m du sol; valeur instantanée";"Punto di rugiada a 2 m; valore momentaneo";"Dew point 2 m above ground; current value";Feuchte;humidité;umidità;humidity;T;1;Float;°C
tre005d0;"Lufttemperatur 5 cm über Gras; Tagesmittel";"température de l'air à 5 cm de l'herbe; moyenne journalière";"Temperatura 5 cm sull'erba; media giornaliera";"Air temperature at 5 cm above grass; daily mean";Temperatur;température;temperatura;temperature;D;1;Float;°C
tre005dn;"Lufttemperatur 5 cm über Gras; Tagesminimum";"température de l'air à 5 cm de l'herbe; minimum journalier";"Temperatura 5 cm sull'erba; minima giornaliera";"Air temperature at 5 cm above grass; daily minimum";Temperatur;température;temperatura;temperature;D;1;Float;°C
tre005dx;"Lufttemperatur 5 cm über Gras; Tagesmaximum";"température de l'air à 5 cm de l'herbe; maximum journalier";"Temperatura 5 cm sull'erba; massima giornaliera";"Air temperature at 5 cm above grass; daily maximum";Temperatur;température;temperatura;temperature;D;1;Float;°C
tre005h0;"Lufttemperatur 5 cm über Gras; Stundenmittel";"température de l'air à 5 cm de l'herbe; moyenne horaire";"Temperatura 5 cm sull'erba; media oraria";"Air temperature at 5 cm above grass; hourly mean";Temperatur;température;temperatura;temperature;H;1;Float;°C
tre005hn;"Lufttemperatur 5 cm über Gras; Stundenminimum";"température de l'air à 5 cm de l'herbe; minimum horaire";"Temperatura 5 cm sull'erba; minima oraria";"Air temperature at 5 cm above grass; hourly minimum";Temperatur;température;temperatura;temperature;H;1;Float;°C
tre005m0;"Lufttemperatur 5 cm über Gras; Monatsmittel";"température de l'air à 5 cm de l'herbe; moyenne mensuelle";"Temperatura 5 cm sull'erba; media mensile";"Air temperature at 5 cm above grass; monthly mean";Temperatur;température;temperatura;temperature;M;1;Float;°C
tre005mn;"Lufttemperatur 5 cm über Gras; absolutes Monatsminimum";"température de l'air à 5 cm de l'herbe; minimum mensuel absolu";"Temperatura 5 cm sull'erba; minima mensile assoluta";"Air temperature at 5 cm above grass; absolute monthly minimum";Temperatur;température;temperatura;temperature;M;1;Float;°C
tre005mx;"Lufttemperatur 5 cm über Gras; absolutes Monatsmaximum";"température de l'air à 5 cm de l'herbe; maximum mensuel absolu";"Temperatura 5 cm sull'erba; massima mensile assoluta";"Air temperature at 5 cm above grass; absolute monthly maximum";Temperatur;température;temperatura;temperature;M;1;Float;°C
tre005s0;"Lufttemperatur 5 cm über Gras; Momentanwert";"température de l'air à 5 cm de l'herbe; valeur instantanée";"Temperatura 5 cm sull'erba; valore momentaneo";"Air temperature at 5 cm above grass; current value";Temperatur;température;temperatura;temperature;T;1;Float;°C
tre005y0;"Lufttemperatur 5 cm über Gras; Jahresmittel";"température de l'air à 5 cm de l'herbe; moyenne annuelle";"Temperatura 5 cm sull'erba; media annuale";"Air temperature at 5 cm above grass; annual mean";Temperatur;température;temperatura;temperature;Y;1;Float;°C
tre005yn;"Lufttemperatur 5 cm über Gras; absolutes Jahresminimum";"température de l'air à 5 cm de l'herbe; minimum annuel absolu";"Temperatura 5 cm sull'erba; minima annuale assoluta";"Air temperature at 5 cm above grass; absolute annual minimum";Temperatur;température;temperatura;temperature;Y;1;Float;°C
tre005yx;"Lufttemperatur 5 cm über Gras; absolutes Jahresmaximum";"température de l'air à 5 cm de l'herbe; maximum annuel absolu";"Temperatura 5 cm sull'erba; massima annuale assoluta";"Air temperature at 5 cm above grass; absolute annual maximum";Temperatur;température;temperatura;temperature;Y;1;Float;°C
tre200d0;"Lufttemperatur 2 m über Boden; Tagesmittel";"température de l'air à 2 m du sol; moyenne journalière";"Temperatura dell'aria a 2 m; media giornaliera";"Air temperature 2 m above ground; daily mean";Temperatur;température;temperatura;temperature;D;1;Float;°C
tre200dn;"Lufttemperatur 2 m über Boden; Tagesminimum";"température de l'air à 2 m du sol; minimum journalier";"Temperatura dell'aria a 2 m; minima giornaliera";"Air temperature 2 m above ground; daily minimum";Temperatur;température;temperatura;temperature;D;1;Float;°C
tre200dx;"Lufttemperatur 2 m über Boden; Tagesmaximum";"température de l'air à 2 m du sol; maximum journalier";"Temperatura dell'aria a 2 m; massima giornaliera";"Air temperature 2 m above ground; daily maximum";Temperatur;température;temperatura;temperature;D;1;Float;°C
tre200h0;"Lufttemperatur 2 m über Boden; Stundenmittel";"température de l'air à 2 m du sol; moyenne horaire";"Temperatura dell'aria a 2 m; media oraria";"Air temperature 2 m above ground; hourly mean";Temperatur;température;temperatura;temperature;H;1;Float;°C
tre200hn;"Lufttemperatur 2 m über Boden; Stundenminimum";"température de l'air à 2 m du sol; minimum horaire";"Temperatura dell'aria a 2 m; minima oraria";"Air temperature 2 m above ground; hourly minimum";Temperatur;température;temperatura;temperature;H;1;Float;°C
tre200hx;"Lufttemperatur 2 m über Boden; Stundenmaximum";"température de l'air à 2 m du sol; maximum horaire";"Temperatura dell'aria a 2 m; massima oraria";"Air temperature 2 m above ground; hourly maximum";Temperatur;température;temperatura;temperature;H;1;Float;°C
tre200m0;"Lufttemperatur 2 m über Boden; Monatsmittel";"température de l'air à 2 m du sol; moyenne mensuelle";"Temperatura dell'aria a 2 m; media mensile";"Air temperature 2 m above ground; monthly mean";Temperatur;température;temperatura;temperature;M;1;Float;°C
tre200mn;"Lufttemperatur 2 m über Boden; absolutes Monatsminimum";"température de l'air à 2 m du sol; minimum mensuel absolu";"Temperatura dell'aria a 2 m; minima mensile assoluta";"Air temperature 2 m above ground; absolute monthly minimum";Temperatur;température;temperatura;temperature;M;1;Float;°C
tre200mx;"Lufttemperatur 2 m über Boden; absolutes Monatsmaximum";"température de l'air à 2 m du sol; maximum mensuel absolu";"Temperatura dell'aria a 2 m; massima mensile assoluta";"Air temperature 2 m above ground; absolute monthly maximum";Temperatur;température;temperatura;temperature;M;1;Float;°C
tre200s0;"Lufttemperatur 2 m über Boden; Momentanwert";"température de l'air à 2 m du sol; valeur instantanée";"Temperatura dell'aria a 2 m; valore momentaneo";"Air temperature 2 m above ground; current value";Temperatur;température;temperatura;temperature;T;1;Float;°C
tre200y0;"Lufttemperatur 2 m über Boden; Jahresmittel";"température de l'air à 2 m du sol; moyenne annuelle";"Temperatura dell'aria a 2 m; media annuale";"Air temperature 2 m above ground; annual mean";Temperatur;température;temperatura;temperature;Y;1;Float;°C
tre200yn;"Lufttemperatur 2 m über Boden; absolutes Jahresminimum";"température de l'air à 2 m du sol; minimum annuel absolu";"Temperatura dell'aria a 2 m; minima annuale assoluta";"Air temperature 2 m above ground; absolute annual minimum";Temperatur;température;temperatura;temperature;Y;1;Float;°C
tre200yx;"Lufttemperatur 2 m über Boden; absolutes Jahresmaximum";"température de l'air à 2 m du sol; maximum annuel absolu";"Temperatura dell'aria a 2 m; massima annuale assoluta";"Air temperature 2 m above ground; absolute annual maximum";Temperatur;température;temperatura;temperature;Y;1;Float;°C
tresurs0;"Lufttemperatur Bodenoberfläche; Momentanwert";"température de l'air à la surface du sol; valeur instantanée";"Temperatura dell'aria al livello del suolo; valore momentaneo";"Air temperature at surface; current value";Temperatur;température;temperatura;temperature;T;1;Float;°C
ure200d0;"Relative Luftfeuchtigkeit 2 m über Boden; Tagesmittel";"humidité de l'air relative à 2 m du sol; moyenne journalière";"Umidità relativa dell'aria a 2 m; media giornaliera";"Relative air humidity; 2 m above ground; daily mean";Feuchte;humidité;umidità;humidity;D;1;Float;%
ure200h0;"Relative Luftfeuchtigkeit 2 m über Boden; Stundenmittel";"humidité de l'air relative à 2 m du sol; moyenne horaire";"Umidità relativa dell'aria a 2 m; media oraria";"Relative air humidity 2 m above ground; hourly mean";Feuchte;humidité;umidità;humidity;H;1;Float;%
ure200m0;"Relative Luftfeuchtigkeit 2 m über Boden; Monatsmittel";"humidité de l'air relative à 2 m du sol; moyenne mensuelle";"Umidità relativa dell'aria a 2 m; media mensile";"Relative air humidity 2 m above ground; monthly mean";Feuchte;humidité;umidità;humidity;M;1;Float;%
ure200s0;"Relative Luftfeuchtigkeit 2 m über Boden; Momentanwert";"humidité de l'air relative à 2 m su sol; valeur instantanée";"Umidità relativa dell'aria a 2 m; valore momentaneo";"Relative air humidity 2 m above ground; current value";Feuchte;humidité;umidità;humidity;T;1;Float;%
ure200y0;"Relative Luftfeuchtigkeit 2 m über Boden; Jahresmittel";"humidité de l'air relative à 2 m du sol; moyenne annuelle";"Umidità relativa dell'aria a 2 m; media annuale";"Relative air humidity 2 m above ground; annual mean";Feuchte;humidité;umidità;humidity;Y;1;Float;%
wcc006d0;Föhnindex, Tageswert;"Foehn index; valeur journalière";"Indice di favonio; valore giornaliera";"Foehn index; daily value";Wind;vent;vento;wind;D;0;Integer;min
wcc006h0;"Föhnindex; Stundenwert";"Foehn index; valeur horaire";"Indice di favonio; valore oraria";"Foehn index;  hour value";Wind;vent;vento;wind;H;0;Integer;min
wcc006s0;Föhnindex;Foehn index;Indice di favonio;Foehn index;Wind;vent;vento;wind;T;0;Integer;Code
xchills0;"Chill Temperatur; Momentanwert";"chill température; valeur instantanée";"Temperatura fredda; valore momentaneo";"Chill temperature; current value";Temperatur;température;temperatura;temperature;T;1;Float;°C
